Serial No.,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,Year,BasePolicy,FraudFound
1800,Jan,5,Saturday,Mazda,Urban,Tuesday,Feb,1,Male,Married,36,Third Party,Sedan - All Perils,Sedan,"less than 20,000",1800,2,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,No
1801,Jan,5,Monday,Honda,Urban,Tuesday,Feb,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,"more than 69,000",1801,8,400,3,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,No
1802,Feb,2,Friday,Pontiac,Urban,Tuesday,Apr,4,Male,Single,26,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",1802,10,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,No
1803,May,5,Sunday,Chevrolet,Rural,Tuesday,May,5,Female,Single,37,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1803,7,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,No
1804,May,2,Sunday,Pontiac,Urban,Tuesday,May,2,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",1804,8,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,No
1805,Oct,5,Monday,Pontiac,Urban,Monday,Oct,5,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1805,5,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,3 to 4,1994,Collision,No
1806,Mar,4,Monday,Pontiac,Urban,Tuesday,Mar,4,Male,Married,66,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",1806,6,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,No
1807,May,4,Wednesday,Pontiac,Urban,Thursday,May,4,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1807,1,400,3,more than 30,more than 30,none,6 years,51 to 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision,No
1808,May,3,Monday,Mazda,Urban,Monday,May,3,Female,Single,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",1808,16,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,No
1809,May,2,Wednesday,Honda,Urban,Tuesday,May,3,Female,Single,26,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",1809,6,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,No
1810,Jun,3,Saturday,Pontiac,Urban,Tuesday,Jul,1,Male,Single,28,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1810,1,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,No
1811,Jun,3,Tuesday,Toyota,Urban,Wednesday,Jun,3,Male,Married,27,Policy Holder,Sedan - Liability,Sport,"more than 69,000",1811,7,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,No
1812,Mar,1,Sunday,Honda,Urban,Wednesday,Mar,3,Male,Single,19,Policy Holder,Sport - Collision,Sport,"more than 69,000",1812,8,400,1,more than 30,more than 30,none,3 years,21 to 25,No,No,External,none,no change,1 vehicle,1994,Collision,Yes
1813,Aug,3,Tuesday,Pontiac,Urban,Tuesday,Aug,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"more than 69,000",1813,9,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,No
1814,Sep,4,Thursday,Chevrolet,Urban,Monday,Sep,4,Male,Married,32,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",1814,7,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,No
1815,Sep,1,Tuesday,Chevrolet,Urban,Wednesday,Sep,3,Male,Married,33,Third Party,Sedan - All Perils,Sedan,"more than 69,000",1815,1,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,No
1816,Mar,2,Monday,Toyota,Urban,Tuesday,Mar,3,Male,Married,35,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",1816,9,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,Yes,External,1 to 2,no change,1 vehicle,1994,Collision,No
1817,Jan,2,Thursday,Accura,Urban,Thursday,Jan,3,Female,Married,44,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",1817,9,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,No
1818,Jan,2,Friday,Pontiac,Urban,Monday,Jan,3,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,"more than 69,000",1818,1,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,No
1819,Jan,2,Wednesday,VW,Urban,Friday,Jan,3,Male,Married,41,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",1819,16,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,No
1820,Mar,3,Saturday,Mazda,Rural,Tuesday,Apr,2,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",1820,16,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,No
1821,Apr,2,Saturday,Pontiac,Urban,Tuesday,Apr,2,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1821,16,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,1 year,1 vehicle,1994,Collision,No
1822,Apr,2,Sunday,Pontiac,Urban,Monday,Apr,2,Female,Widow,42,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1822,10,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,No
1823,Apr,5,Saturday,Mazda,Urban,Tuesday,May,1,Male,Married,26,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",1823,4,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,No
1824,May,3,Wednesday,Chevrolet,Rural,Tuesday,Sep,1,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1824,5,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,No
1825,May,2,Saturday,Mazda,Urban,Monday,May,5,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1825,15,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,No
1826,Jun,5,Thursday,Honda,Urban,Thursday,Jul,1,Male,Single,24,Policy Holder,Sport - Collision,Sport,"more than 69,000",1826,6,400,1,more than 30,more than 30,none,6 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,No
1827,Sep,2,Tuesday,Chevrolet,Urban,Tuesday,Sep,4,Female,Married,29,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1827,8,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,No
1828,Sep,2,Thursday,Toyota,Urban,Tuesday,Oct,4,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",1828,13,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,No
1829,Oct,5,Saturday,Chevrolet,Urban,Monday,Oct,5,Male,Married,79,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",1829,4,400,4,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision,No
1830,Oct,4,Tuesday,Chevrolet,Urban,Wednesday,Oct,4,Male,Single,49,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",1830,6,700,2,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1994,Collision,No
1831,Dec,1,Sunday,Mazda,Urban,Tuesday,Dec,1,Female,Single,19,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1831,5,400,4,more than 30,more than 30,1,2 years,21 to 25,No,No,External,none,no change,1 vehicle,1994,Liability,No
1832,Nov,2,Friday,Mazda,Urban,Thursday,Nov,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1832,6,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,No
1833,Oct,4,Tuesday,Toyota,Urban,Thursday,Oct,4,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1833,5,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,No
1834,Sep,2,Thursday,Pontiac,Urban,Friday,Sep,2,Male,Married,45,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",1834,1,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,No
1835,Jul,2,Tuesday,Pontiac,Urban,Monday,Jul,3,Female,Single,41,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",1835,16,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,No
1836,Jul,1,Wednesday,Toyota,Rural,Monday,Jul,5,Male,Single,48,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",1836,12,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,No
1837,Jun,4,Monday,Chevrolet,Urban,Monday,Jun,4,Male,Married,46,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",1837,1,500,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,1994,Liability,No
1838,Jun,3,Monday,Honda,Urban,Monday,Jun,3,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1838,12,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,No
1839,Jun,3,Tuesday,Toyota,Urban,Thursday,Jun,4,Male,Married,56,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",1839,6,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,No
1840,Jun,3,Friday,Mazda,Urban,Tuesday,Jun,3,Male,Married,37,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",1840,9,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,No
1841,Jun,3,Friday,Pontiac,Rural,Tuesday,Jun,3,Male,Married,62,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",1841,12,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,No
1842,Jun,3,Friday,Pontiac,Urban,Monday,Jun,3,Male,Married,40,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",1842,4,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,No
1843,May,2,Monday,Toyota,Urban,Monday,May,2,Female,Married,45,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",1843,6,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,No
1844,Apr,3,Wednesday,Toyota,Urban,Wednesday,May,2,Male,Married,38,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",1844,9,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,No
1845,Mar,2,Monday,Pontiac,Urban,Wednesday,Mar,2,Male,Single,22,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",1845,16,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils,No
1846,Mar,5,Tuesday,Pontiac,Urban,Friday,Apr,2,Male,Married,45,Third Party,Sedan - All Perils,Sedan,"more than 69,000",1846,3,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,3 to 4,1994,All Perils,No
1847,Feb,4,Friday,Honda,Urban,Friday,Mar,1,Female,Divorced,38,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",1847,9,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,5 to 8,1994,All Perils,No
1848,Jan,3,Tuesday,Honda,Rural,Wednesday,Jan,3,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",1848,15,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,No
1849,Jan,2,Monday,Toyota,Urban,Tuesday,Jan,2,Male,Married,30,Third Party,Sedan - Liability,Sport,"30,000 to 39,000",1849,10,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability,No
1850,Jan,2,Monday,Toyota,Urban,Monday,Jan,2,Male,Married,55,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",1850,2,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,No
1851,Jan,2,Saturday,Toyota,Urban,Tuesday,Jan,3,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",1851,13,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,No
1852,Jan,1,Friday,Honda,Urban,Monday,Jan,2,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1852,11,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,No
1853,Jan,1,Friday,Pontiac,Rural,Monday,Jan,2,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",1853,3,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,No
1854,Jan,2,Sunday,Pontiac,Rural,Monday,Jan,2,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",1854,15,400,3,more than 30,more than 30,1,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,No
1855,Jan,1,Monday,Pontiac,Urban,Friday,Feb,1,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",1855,13,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1994,Collision,No
1856,Mar,2,Monday,Mazda,Urban,Monday,Mar,2,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",1856,10,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,Yes
1857,Dec,5,Friday,Pontiac,Urban,Wednesday,Jan,1,Male,Single,30,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",1857,4,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,No
1858,Jan,1,Sunday,Mazda,Urban,Tuesday,Jan,1,Female,Married,39,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1858,16,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,No
1859,Jan,1,Sunday,Mazda,Urban,Thursday,Feb,1,Male,Married,73,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1859,13,400,2,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,No
1860,Dec,3,Tuesday,Mazda,Urban,Thursday,Dec,4,Male,Married,32,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",1860,14,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,No
1861,Mar,2,Monday,Pontiac,Urban,Tuesday,Mar,2,Male,Married,51,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",1861,13,700,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,No
1862,Mar,2,Monday,Toyota,Urban,Thursday,Mar,2,Male,Married,50,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1862,11,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,Yes
1863,Mar,2,Monday,Ford,Urban,Friday,Apr,1,Male,Single,29,Policy Holder,Utility - All Perils,Utility,"more than 69,000",1863,11,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,Yes
1864,Oct,1,Sunday,Toyota,Urban,Tuesday,Oct,1,Female,Married,61,Policy Holder,Sedan - Liability,Sport,"less than 20,000",1864,4,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,No
1865,Sep,5,Wednesday,Toyota,Urban,Tuesday,Oct,1,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1865,10,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,No
1866,Aug,1,Wednesday,Chevrolet,Urban,Friday,Aug,1,Male,Married,75,Policy Holder,Sedan - Liability,Sport,"40,000 to 59,000",1866,7,400,2,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability,No
1867,Jul,4,Monday,Honda,Urban,Tuesday,Jul,4,Male,Married,27,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",1867,3,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,No
1868,Jul,1,Monday,Pontiac,Urban,Monday,Jul,1,Female,Single,27,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1868,2,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,No
1869,Jun,3,Tuesday,Pontiac,Urban,Wednesday,Jun,3,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",1869,13,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,No
1870,Jun,1,Sunday,Toyota,Urban,Wednesday,Jun,2,Male,Married,51,Third Party,Sedan - Collision,Sedan,"more than 69,000",1870,12,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,No
1871,Apr,3,Friday,Toyota,Urban,Monday,Apr,4,Male,Married,40,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",1871,1,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,No
1872,Apr,2,Monday,Pontiac,Urban,Monday,Apr,2,Male,Married,42,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1872,15,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,No
1873,Apr,2,Monday,Toyota,Urban,Monday,Apr,2,Male,Married,68,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",1873,5,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,No
1874,Apr,1,Tuesday,Ford,Urban,Tuesday,Apr,1,Male,Married,51,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",1874,7,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,No
1875,Mar,2,Tuesday,Accura,Urban,Wednesday,Apr,2,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",1875,8,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,No
1876,Feb,4,Friday,Honda,Urban,Friday,Feb,4,Male,Single,71,Policy Holder,Sedan - Liability,Sport,"more than 69,000",1876,11,400,1,more than 30,more than 30,1,new,over 65,No,No,External,none,no change,1 vehicle,1994,Liability,No
1877,Feb,2,Wednesday,Pontiac,Urban,Wednesday,Feb,2,Male,Married,37,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1877,9,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,No
1878,Feb,2,Tuesday,Pontiac,Urban,Friday,Feb,4,Female,Single,26,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1878,1,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,No
1879,Feb,1,Saturday,Pontiac,Urban,Wednesday,Feb,2,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",1879,3,400,2,more than 30,more than 30,none,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,No
1880,Feb,1,Friday,Mazda,Urban,Monday,Feb,2,Female,Single,33,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1880,15,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,No
1881,Feb,1,Saturday,Pontiac,Urban,Monday,Feb,2,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1881,7,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,No
1882,Mar,4,Wednesday,Dodge,Urban,Friday,Mar,4,Male,Married,53,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",1882,9,400,3,none,8 to 15,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,No
1883,Mar,2,Tuesday,Honda,Urban,Friday,Jul,1,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",1883,10,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,Yes
1884,Jul,5,Thursday,Honda,Urban,Thursday,Jul,5,Male,Married,41,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",1884,5,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,No
1885,Nov,4,Friday,Pontiac,Urban,Wednesday,Feb,2,Male,Married,28,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",1885,1,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,No
1886,Aug,4,Friday,Honda,Urban,Monday,Aug,5,Female,Single,24,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1886,5,400,2,more than 30,more than 30,more than 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,No
1887,Feb,4,Monday,Pontiac,Urban,Wednesday,Mar,1,Male,Married,55,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",1887,11,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,3 to 4,1994,Collision,No
1888,Mar,3,Wednesday,Mecedes,Urban,Wednesday,Mar,3,Male,Married,65,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",1888,15,500,4,more than 30,more than 30,1,6 years,51 to 65,No,No,External,none,2 to 3 years,1 vehicle,1994,All Perils,No
1889,Mar,2,Tuesday,Chevrolet,Urban,Wednesday,Mar,2,Female,Married,47,Policy Holder,Sedan - Collision,Sedan,"more than 69,000",1889,15,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,Yes
1890,Mar,1,Friday,Toyota,Urban,Friday,Mar,1,Female,Married,45,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",1890,5,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,No
1891,Aug,1,Saturday,Chevrolet,Urban,Thursday,Aug,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"more than 69,000",1891,1,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Collision,No
1892,Aug,1,Saturday,Pontiac,Urban,Thursday,Aug,3,Male,Married,76,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1892,1,700,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,No
1893,Mar,3,Sunday,Ford,Urban,Tuesday,Mar,4,Male,Married,47,Policy Holder,Sedan - Liability,Sport,"60,000 to 69,000",1893,11,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,No
1894,Feb,3,Saturday,Mazda,Rural,Monday,Feb,3,Female,Married,55,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1894,5,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,No
1895,Mar,2,Wednesday,Honda,Urban,Wednesday,Mar,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",1895,11,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,Yes
1896,Feb,3,Tuesday,Pontiac,Urban,Wednesday,Feb,3,Female,Single,30,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",1896,14,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,No
1897,Feb,3,Wednesday,Honda,Urban,Friday,Feb,3,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",1897,14,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,No
1898,Feb,2,Friday,Pontiac,Urban,Thursday,Feb,3,Female,Single,35,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1898,8,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,No
1899,Feb,2,Thursday,Honda,Urban,Friday,Feb,2,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",1899,5,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,No
1900,Feb,2,Wednesday,Chevrolet,Urban,Wednesday,Feb,2,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",1900,15,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,No
